iter	Passed	Remaining
0	155	154945
1	156	78104
2	158	52591
3	159	39690
4	161	32120
5	162	26945
6	175	24961
7	176	21938
8	177	19580
9	179	17742
10	180	16216
11	181	14931
12	182	13835
13	183	12903
14	184	12092
15	185	11382
16	186	10757
17	186	10194
18	187	9705
19	189	9276
20	190	8868
21	191	8494
22	191	8153
23	192	7844
24	193	7554
25	194	7289
26	195	7040
27	196	6810
28	196	6595
29	197	6394
30	198	6207
31	199	6034
32	200	5879
33	202	5761
34	203	5616
35	204	5477
36	205	5351
37	206	5223
38	206	5100
39	207	4982
40	208	4871
41	208	4764
42	209	4662
43	210	4565
44	210	4471
45	211	4383
46	211	4297
47	212	4223
48	213	4148
49	214	4074
50	215	4001
51	215	3931
52	216	3865
53	216	3800
54	217	3738
55	218	3678
56	218	3619
57	219	3566
58	220	3512
59	220	3461
60	221	3410
61	222	3362
62	222	3316
63	223	3270
64	224	3226
65	224	3182
66	225	3141
67	225	3095
68	226	3057
69	227	3019
70	227	2982
71	228	2948
72	229	2913
73	230	2879
74	230	2846
75	231	2813
76	232	2782
77	232	2751
78	233	2721
79	234	2692
80	234	2664
81	235	2635
82	236	2608
83	236	2581
84	237	2552
85	237	2527
86	238	2500
87	238	2475
88	239	2452
89	240	2432
90	241	2410
91	242	2388
92	242	2366
93	243	2346
94	244	2325
95	244	2305
96	245	2284
97	246	2265
98	246	2246
99	247	2227
100	248	2209
101	248	2188
102	249	2170
103	249	2153
104	250	2137
105	251	2119
106	252	2103
107	252	2086
108	253	2071
109	254	2055
110	254	2040
111	255	2025
112	256	2011
113	256	1996
114	257	1982
115	258	1967
116	258	1953
117	259	1940
118	260	1926
119	260	1913
120	261	1901
121	262	1888
122	262	1873
123	263	1860
124	264	1848
125	264	1836
126	265	1825
127	265	1811
128	266	1800
129	267	1789
130	268	1780
131	269	1769
132	269	1760
133	270	1749
134	271	1739
135	272	1729
136	272	1719
137	273	1708
138	274	1699
139	275	1689
140	275	1680
141	276	1671
142	277	1661
143	278	1652
144	278	1643
145	279	1634
146	280	1625
147	280	1617
148	281	1609
149	282	1602
150	283	1595
151	284	1588
152	285	1579
153	286	1572
154	286	1564
155	287	1556
156	288	1548
157	289	1540
158	289	1533
159	290	1525
160	291	1517
161	291	1510
162	292	1502
163	293	1494
164	293	1487
165	294	1480
166	295	1473
167	296	1466
168	296	1459
169	298	1455
170	299	1450
171	300	1447
172	301	1443
173	302	1437
174	303	1431
175	304	1425
176	305	1418
177	305	1412
178	306	1406
179	307	1400
180	307	1392
181	308	1386
182	316	1412
183	320	1422
184	322	1419
185	323	1414
186	323	1407
187	324	1401
188	325	1395
189	325	1389
190	326	1383
191	327	1377
192	328	1372
193	328	1366
194	329	1360
195	330	1355
196	331	1349
197	331	1343
198	332	1338
199	333	1332
200	333	1327
201	334	1321
202	335	1316
203	336	1311
204	336	1306
205	337	1300
206	338	1295
207	338	1290
208	339	1285
209	340	1280
210	341	1275
211	341	1270
212	342	1266
213	343	1262
214	344	1257
215	345	1252
216	345	1247
217	346	1243
218	347	1239
219	348	1235
220	349	1230
221	350	1226
222	350	1222
223	351	1218
224	352	1213
225	353	1209
226	353	1205
227	354	1200
228	355	1196
229	356	1192
230	356	1187
231	357	1183
232	358	1179
233	359	1175
234	359	1171
235	360	1166
236	361	1162
237	361	1158
238	362	1154
239	363	1150
240	364	1146
241	364	1142
242	365	1138
243	366	1134
244	366	1130
245	367	1126
246	368	1123
247	369	1120
248	370	1116
249	370	1112
250	371	1108
251	372	1105
252	372	1101
253	373	1097
254	374	1093
255	375	1090
256	376	1087
257	376	1083
258	377	1079
259	378	1076
260	378	1072
261	379	1068
262	380	1065
263	380	1061
264	381	1058
265	382	1056
266	383	1053
267	384	1049
268	385	1046
269	386	1045
270	387	1043
271	388	1040
272	389	1036
273	390	1034
274	390	1030
275	391	1027
276	392	1024
277	393	1021
278	394	1018
279	395	1016
280	396	1013
281	397	1011
282	398	1009
283	399	1006
284	399	1003
285	400	1000
286	401	997
287	402	995
288	403	992
289	404	989
290	405	987
291	406	984
292	406	981
293	407	978
294	408	975
295	409	972
296	409	970
297	410	967
298	411	965
299	412	962
300	413	959
301	413	956
302	414	954
303	415	951
304	416	948
305	416	945
306	417	942
307	418	940
308	419	937
309	419	934
310	420	931
311	421	928
312	421	926
313	422	923
314	423	920
315	423	917
316	424	915
317	425	912
318	426	910
319	427	908
320	428	905
321	428	902
322	429	900
323	430	897
324	431	895
325	431	893
326	432	890
327	434	889
328	434	886
329	435	884
330	436	882
331	437	879
332	437	877
333	438	874
334	439	872
335	440	870
336	443	872
337	444	871
338	445	869
339	446	867
340	447	865
341	448	863
342	449	861
343	450	859
344	451	857
345	452	855
346	453	853
347	454	852
348	455	850
349	456	847
350	457	845
351	458	843
352	459	842
353	460	840
354	461	838
355	462	836
356	463	834
357	464	832
358	465	830
359	466	828
360	467	826
361	468	824
362	469	823
363	470	821
364	470	819
365	471	817
366	472	815
367	473	812
368	474	810
369	474	808
370	476	807
371	476	805
372	477	802
373	478	800
374	479	798
375	480	796
376	480	794
377	481	793
378	482	791
379	483	789
380	484	786
381	485	784
382	486	783
383	486	780
384	487	778
385	488	776
386	488	774
387	489	772
388	490	770
389	491	768
390	491	766
391	492	764
392	493	762
393	494	760
394	495	758
395	495	756
396	496	754
397	497	752
398	498	750
399	499	749
400	501	749
401	502	747
402	503	746
403	504	744
404	505	742
405	505	740
406	506	738
407	507	736
408	508	734
409	508	732
410	509	730
411	510	728
412	511	726
413	512	724
414	512	722
415	513	721
416	514	719
417	515	717
418	516	715
419	517	714
420	517	712
421	518	710
422	519	708
423	520	706
424	521	705
425	521	703
426	522	701
427	523	699
428	524	697
429	525	696
430	526	694
431	527	693
432	528	691
433	529	690
434	530	688
435	530	686
436	531	684
437	532	683
438	533	681
439	533	679
440	534	677
441	535	676
442	536	674
443	537	672
444	537	670
445	538	669
446	539	667
447	540	665
448	541	664
449	542	662
450	543	661
451	543	659
452	544	657
453	545	655
454	546	654
455	546	652
456	547	650
457	548	648
458	549	647
459	549	645
460	550	643
461	551	642
462	552	640
463	553	639
464	554	637
465	555	636
466	556	634
467	557	633
468	558	631
469	559	630
470	560	629
471	560	627
472	561	625
473	562	624
474	563	622
475	564	621
476	565	619
477	566	618
478	567	616
479	567	615
480	568	613
481	569	612
482	570	610
483	571	609
484	572	607
485	572	605
486	573	604
487	574	602
488	575	601
489	576	599
490	577	598
491	577	596
492	578	595
493	579	593
494	580	591
495	580	590
496	582	589
497	584	589
498	585	587
499	586	586
500	587	585
501	588	583
502	589	582
503	590	581
504	591	580
505	592	578
506	593	577
507	594	576
508	595	574
509	596	573
510	597	571
511	598	570
512	599	568
513	600	567
514	601	566
515	601	564
516	602	562
517	603	561
518	604	560
519	605	558
520	605	557
521	606	555
522	607	554
523	608	552
524	618	559
525	622	560
526	623	559
527	624	558
528	625	557
529	626	555
530	627	554
531	628	552
532	629	551
533	630	549
534	630	548
535	631	546
536	632	545
537	633	543
538	634	542
539	634	540
540	635	539
541	636	537
542	637	536
543	638	534
544	638	533
545	639	531
546	640	530
547	641	528
548	641	527
549	642	525
550	643	524
551	644	522
552	644	521
553	645	519
554	646	518
555	647	516
556	647	515
557	648	513
558	649	512
559	650	510
560	650	509
561	651	507
562	652	506
563	653	505
564	654	503
565	655	502
566	656	500
567	656	499
568	657	498
569	658	496
570	659	495
571	660	493
572	660	492
573	661	491
574	662	489
575	663	488
576	664	486
577	664	485
578	665	484
579	666	482
580	667	481
581	668	479
582	669	478
583	669	477
584	670	475
585	671	474
586	672	472
587	673	471
588	673	470
589	674	468
590	675	467
591	676	466
592	676	464
593	677	463
594	678	461
595	679	460
596	680	459
597	681	458
598	682	457
599	684	456
600	685	454
601	686	453
602	686	452
603	687	450
604	688	449
605	689	448
606	689	446
607	690	445
608	691	443
609	692	442
610	693	441
611	693	439
612	694	438
613	695	437
614	696	435
615	697	434
616	697	433
617	698	431
618	699	430
619	700	429
620	701	428
621	702	426
622	702	425
623	703	424
624	704	422
625	705	421
626	705	419
627	706	418
628	707	417
629	708	415
630	708	414
631	709	413
632	710	411
633	711	410
634	711	409
635	712	407
636	713	406
637	714	405
638	715	403
639	715	402
640	716	401
641	717	400
642	718	398
643	718	397
644	719	396
645	720	394
646	721	393
647	722	392
648	723	391
649	723	389
650	724	388
651	725	387
652	726	385
653	727	384
654	727	383
655	728	382
656	729	380
657	730	379
658	731	378
659	731	377
660	732	375
661	733	374
662	734	373
663	735	371
664	735	370
665	736	369
666	737	368
667	738	367
668	739	365
669	740	364
670	741	363
671	741	362
672	742	360
673	743	359
674	744	358
675	745	357
676	746	355
677	746	354
678	747	353
679	748	352
680	749	351
681	750	349
682	751	348
683	751	347
684	752	346
685	753	344
686	754	343
687	755	342
688	755	341
689	756	339
690	757	338
691	758	337
692	759	336
693	759	335
694	760	333
695	761	332
696	762	331
697	763	330
698	764	329
699	764	327
700	765	326
701	766	325
702	767	324
703	768	322
704	769	321
705	769	320
706	770	319
707	771	318
708	772	316
709	773	315
710	773	314
711	774	313
712	775	312
713	776	310
714	776	309
715	777	308
716	778	307
717	779	306
718	780	304
719	781	303
720	782	302
721	782	301
722	783	300
723	784	299
724	785	297
725	786	296
726	787	295
727	787	294
728	788	293
729	789	292
730	790	290
731	791	289
732	792	288
733	793	287
734	794	286
735	795	285
736	796	284
737	797	283
738	798	281
739	798	280
740	799	279
741	800	278
742	801	277
743	802	276
744	803	274
745	804	273
746	804	272
747	805	271
748	806	270
749	807	269
750	812	269
751	813	268
752	813	266
753	814	265
754	815	264
755	816	263
756	817	262
757	818	261
758	819	260
759	819	258
760	820	257
761	821	256
762	822	255
763	823	254
764	823	253
765	824	251
766	825	250
767	826	249
768	826	248
769	827	247
770	828	246
771	829	245
772	830	243
773	831	242
774	832	241
775	832	240
776	833	239
777	834	238
778	835	236
779	836	235
780	837	234
781	837	233
782	838	232
783	839	231
784	840	230
785	841	229
786	842	227
787	843	226
788	843	225
789	844	224
790	845	223
791	846	222
792	847	221
793	847	219
794	848	218
795	849	217
796	850	216
797	851	215
798	852	214
799	852	213
800	853	212
801	854	210
802	855	209
803	856	208
804	856	207
805	857	206
806	858	205
807	859	204
808	860	203
809	860	201
810	861	200
811	862	199
812	863	198
813	864	197
814	865	196
815	866	195
816	866	194
817	867	193
818	868	191
819	869	190
820	869	189
821	870	188
822	871	187
823	872	186
824	873	185
825	874	184
826	875	183
827	876	181
828	876	180
829	877	179
830	878	178
831	879	177
832	880	176
833	881	175
834	882	174
835	883	173
836	883	172
837	884	171
838	885	169
839	886	168
840	887	167
841	888	166
842	888	165
843	889	164
844	890	163
845	891	162
846	892	161
847	892	160
848	893	158
849	894	157
850	895	156
851	896	155
852	897	154
853	898	153
854	898	152
855	899	151
856	900	150
857	901	149
858	902	148
859	903	147
860	903	145
861	904	144
862	905	143
863	906	142
864	907	141
865	908	140
866	908	139
867	909	138
868	910	137
869	911	136
870	912	135
871	913	134
872	913	132
873	914	131
874	915	130
875	916	129
876	917	128
877	917	127
878	918	126
879	919	125
880	920	124
881	921	123
882	922	122
883	923	121
884	923	120
885	924	118
886	925	117
887	926	116
888	927	115
889	928	114
890	928	113
891	929	112
892	930	111
893	931	110
894	932	109
895	932	108
896	933	107
897	934	106
898	935	105
899	936	104
900	937	102
901	937	101
902	938	100
903	939	99
904	940	98
905	941	97
906	941	96
907	942	95
908	943	94
909	944	93
910	944	92
911	945	91
912	946	90
913	947	89
914	947	88
915	948	87
916	949	85
917	950	84
918	951	83
919	952	82
920	953	81
921	954	80
922	955	79
923	956	78
924	957	77
925	957	76
926	958	75
927	959	74
928	960	73
929	960	72
930	961	71
931	962	70
932	963	69
933	964	68
934	964	67
935	965	66
936	966	64
937	966	63
938	967	62
939	968	61
940	969	60
941	969	59
942	970	58
943	971	57
944	972	56
945	973	55
946	974	54
947	974	53
948	975	52
949	976	51
950	977	50
951	978	49
952	978	48
953	979	47
954	980	46
955	981	45
956	982	44
957	982	43
958	983	42
959	984	41
960	985	39
961	986	38
962	986	37
963	987	36
964	988	35
965	989	34
966	990	33
967	990	32
968	991	31
